No.,label,Mnemonic,SubSpecies,Quadrat,PX,PY,PXE,PXN,PYE,PYN,UTM Northi,UTM Eastin,TreeID,Tag,StemID,StemTag,Census,DBH,HOM,Date,Codes,Stem,Status,geometry,easting_short,northing_short,tree_id
15121,Acacia brevispica,ACACBR,,5019,999.87268,369.49179,901.0712444,433.3774206,-160.1497891,332.9808221,32174.67824,263650.3915,180568,503317,365840,503317,1,19.0,0.5,5/11/12,M,main,alive,POINT (263650.3915 32174.67824),263650.0,32175.0,7788
15211,Acacia brevispica,ACACBR,,5020,994.09528,381.24283,895.8647325,430.873307,-165.243073,343.5706947,32182.764,263640.0917,180695,503782,366305,503782,1,16.0,0.5,6/10/12,M,main,alive,POINT (263640.0917 32182.764),263640.0,32183.0,7315
15235,Acacia brevispica,ACACBR,,5020,997.74091,382.82755,899.1501232,432.453442,-165.9299423,344.9988221,32185.77226,263642.6902,180714,503841,366364,503841,1,19.0,0.5,6/10/12,M,main,alive,POINT (263642.6902 32185.77226),263643.0,32186.0,7101
15327,Acacia brevispica,ACACBR,,5021,981.05139,419.4339,884.1097617,425.2196598,-181.796328,377.9879517,32211.52761,263611.7834,180781,504101,366624,504101,1,28.0,0.5,9/22/12,,main,alive,POINT (263611.7834 32211.52761),263612.0,32212.0,5708
15345,Acacia brevispica,ACACBR,,5021,998.26361,410.5097,899.6211731,432.6799972,-177.9282887,369.9455877,32210.94558,263631.1629,180837,504309,366832,504309,1,13.0,0.5,9/22/12,M,main,alive,POINT (263631.1629 32210.94558),263631.0,32211.0,5771
15456,Acacia brevispica,ACACBR,,5022,987.88678,434.9332,890.2697194,428.1823407,-188.51423,391.9557036,32228.45804,263611.2255,181050,505005,367527,505005,1,29.0,0.5,10/9/12,M,main,alive,POINT (263611.2255 32228.45804),263611.0,32228.0,4947
15682,Acacia brevispica,ACACBR,,5023,999.84351,453.11292,901.0449568,433.3647774,-196.3939134,408.3390124,32250.02379,263614.121,181503,506570,369092,506570,1,10.0,0.5,5/26/13,,main,alive,POINT (263614.121 32250.02379),263614.0,32250.0,3858
15692,Acacia brevispica,ACACBR,,5023,999.78168,448.03494,900.9892365,433.3379782,-194.1929513,403.762808,32245.42079,263616.2663,181574,506834,369356,506834,1,20.0,0.5,5/26/13,M,main,alive,POINT (263616.2663 32245.42079),263616.0,32245.0,4049
15717,Acacia brevispica,ACACBR,,5023,995.06879,440.31015,896.7420461,431.295258,-190.8447754,396.8013355,32236.41659,263615.3673,181580,506869,369391,506869,1,10.0,0.5,5/26/13,,main,alive,POINT (263615.3673 32236.41659),263615.0,32236.0,4448
15734,Acacia brevispica,ACACBR,,5024,986.82001,461.01004,889.3083612,427.7199678,-199.8167827,415.4557863,32251.49575,263598.9616,181665,507167,369689,507167,1,16.0,0.5,6/11/13,M,main,alive,POINT (263598.9616 32251.49575),263599.0,32251.0,3770
15767,Acacia brevispica,ACACBR,,5024,994.51471,472.1922,896.242717,431.0551017,-204.6634954,425.5329921,32264.90809,263601.0492,181834,507755,370278,507755,1,15.0,0.5,6/11/13,,main,alive,POINT (263601.0492 32264.90809),263601.0,32265.0,3125
15813,Acacia brevispica,ACACBR,,5024,998.97333,479.15891,900.2607628,432.987613,-207.6830947,431.8112935,32273.11891,263602.0477,181895,508004,370527,508004,1,25.0,0.5,6/11/13,M,main,alive,POINT (263602.0477 32273.11891),263602.0,32273.0,2772
15839,Acacia brevispica,ACACBR,,5024,998.6106,465.06155,899.9338756,432.830394,-201.5728392,419.1069503,32260.25734,263607.831,181965,508220,370743,508220,1,18.0,0.5,6/11/13,M,main,alive,POINT (263607.831 32260.25734),263608.0,32260.0,3337
15845,Acacia brevispica,ACACBR,,5024,996.06653,469.86432,897.6411954,431.7277111,-203.6545163,423.4351393,32263.48285,263603.4567,181976,508244,370767,508244,1,14.0,0.5,6/11/13,M,main,alive,POINT (263603.4567 32263.48285),263603.0,32263.0,3195
15849,Acacia brevispica,ACACBR,,5024,997.35809,469.09027,898.8051312,432.2875153,-203.3190178,422.7375763,32263.34509,263604.9561,181979,508261,370784,508261,1,14.0,0.5,6/11/13,M,main,alive,POINT (263604.9561 32263.34509),263605.0,32263.0,3196
15867,Acacia brevispica,ACACBR,,5025,990.83447,491.0686,892.9261363,429.4599657,-212.8451426,442.5441392,32280.3241,263589.551,182250,509276,371797,509276,1,27.0,0.5,6/18/13,M,main,alive,POINT (263589.551 32280.3241),263590.0,32280.0,2510
15895,Acacia brevispica,ACACBR,,5025,999.38782,494.69571,900.6342954,433.1672664,-214.4172504,445.8128399,32287.30011,263595.687,182298,509518,372039,509518,1,12.0,0.5,6/18/13,M,main,alive,POINT (263595.687 32287.30011),263596.0,32287.0,2203
15924,Acacia brevispica,ACACBR,,5025,998.7301,485.67847,900.0415673,432.8821892,-210.5088846,437.6866296,32278.88882,263599.0027,182349,509720,372241,509720,1,13.0,0.5,6/18/13,M,main,alive,POINT (263599.0027 32278.88882),263599.0,32279.0,2531
15933,Acacia brevispica,ACACBR,,5025,998.729,487.914,900.040576,432.8817124,-211.4778361,439.7012579,32280.90297,263598.0327,182359,509750,372271,509750,1,12.0,0.5,6/18/13,,main,alive,POINT (263598.0327 32280.90297),263598.0,32281.0,2480
15940,Acacia brevispica,ACACBR,,5025,997.0954,480.11652,898.5683986,432.1736569,-208.0981541,432.6742782,32273.16794,263599.9402,182365,509764,372285,509764,1,20.0,0.5,6/18/13,M,main,alive,POINT (263599.9402 32273.16794),263600.0,32273.0,2771
15950,Acacia brevispica,ACACBR,,5105,1015.27002,94.3458,914.9471114,440.0511298,-40.89254589,85.02311256,31933.39424,263783.5246,182442,510283,372615,510283,1,18.0,0.5,4/10/12,M,main,alive,POINT (263783.5246 31933.39424),263784.0,31933.0,22061
15997,Acacia brevispica,ACACBR,,5109,1013.9422,164.13701,913.7504986,439.4756093,-71.14233186,147.9179728,31995.71358,263752.0782,182629,510881,373213,510881,1,26.0,0.5,4/14/12,"M,Q",main,alive,POINT (263752.0782 31995.71358),263752.0,31996.0,18120
16067,Acacia brevispica,ACACBR,,5114,1007.42963,277.7486,907.8814618,436.6528491,-120.3852993,250.3031452,32095.27599,263696.9662,183391,511892,376374,511892,1,49.0,0.5,4/21/12,"M,Q",main,alive,POINT (263696.9662 32095.27599),263697.0,32095.0,12375
16284,Acacia brevispica,ACACBR,,5116,1013.20142,314.30719,913.0829181,439.1545311,-136.2309842,283.2492341,32130.72377,263686.3219,183510,512509,376990,512509,1,22.0,0.5,4/24/12,M,main,alive,POINT (263686.3219 32130.72377),263686.0,32131.0,10533
16397,Acacia brevispica,ACACBR,,5117,1012.4024,338.2756,912.3628525,438.8082098,-146.6196746,304.8492293,32151.97744,263675.2132,183651,513057,377537,513057,1,26.0,0.5,4/25/12,"M,Q",main,alive,POINT (263675.2132 32151.97744),263675.0,32152.0,9287
16401,Acacia brevispica,ACACBR,,5117,1019.75537,339.9187,918.989246,441.9952267,-147.3318477,306.3299679,32156.64519,263681.1274,183662,513086,377566,513086,1,18.0,0.5,4/25/12,"M,Q",main,alive,POINT (263681.1274 32156.64519),263681.0,32157.0,9040
16403,Acacia brevispica,ACACBR,,5117,1018.86249,336.3414,918.184595,441.6082234,-145.7813292,303.1061553,32153.03438,263681.8733,183663,513088,377568,513088,1,24.0,0.5,4/25/12,"M,Q",main,alive,POINT (263681.8733 32153.03438),263682.0,32153.0,9221
